descricao,problema
"A pedido da engenharia do CCBB, por motivo de manutenção do ar condicionado, solicitamos remanejamento de armário alto localizado na GEPEM para local a ser indicado no momento do serviço.","Problema Padrão - GEPIN"
"Formulário para abertura de demanda de TI (preenchimento obrigatório) <br><br><b>1 - Que operação você está tentando/precisa realizar no sistema? </b><br>   R: Instalação dos computadores do Anelli, Humberto e Paula Ananda na Geate.<br><br><b>2 - O que impede a realização desta operação (erro/falta de funcionalidade)? </b><br>   R: Cabos e periféricos soltos.<br><br><b>3 - Em caso de erro, anexe tela de evidência com a mensagem apresentada pelo sistema. </b><br>   R: Não se aplica.<br><br><b>4 - Em caso de falta de funcionalidade, descreva a necessidade a ser suprida pelo sistema. </b><br>   R: Instalação dos equipamentos.<br><br><b>5 - Qual o impacto de não realizar esta operação? </b><br>   R: Não utilizar os equipamentos.<br><br><b>6 - Quando você precisa concluir esta operação? </b><br>   R: 04/08/2017.<br><br><b>7 - A correção/melhoria implica na necessidade de atualização de normativo? </b><br>   R: Não.<br><br><b> Informações Adicionais:  </b><br>","Equip de Informática - Instalação/Manutenção/Desinstalação"
"Solicito um carimbo modelo 911 conforme segue:&nbsp;<div><br><div>&nbsp;Alírio Pereira Filho</div><div>&nbsp;Gerente de Divisão.</div></div>","Carimbo e cartão"
"
            <b style=""font-variant: small-caps; font-size: medium;"">Acesso aos sistemas da Fundação</b><br>&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;<br>
            <b>Nome: </b><span name=""r_matricula""></span>&nbsp;&nbsp;&nbsp;<span name=""r_nome"">DALVA</span>&nbsp;<span name=""spAreaUsu"" style=""display: none;""></span><br>
            <b>Lista de sistemas para acesso: </b><br>
            <b>Rede ou outro sistema: </b><br><span name=""r_acessorede"">Não solicitado</span><br>
            <b>Sites na internet: </b> <span name=""r_acessosite""></span><br>
            <span id=""sites_opc"" style="""">
                <b>URL desejada: </b><span name=""r_urlSitio"">http://www.radioivoti.com.br/noticia-estado-2579</span><br>
                <b>Justificativa: </b><br><span name=""r_ta_justificativa"">clipping </span><br>
                <b>Interesse para a Fundação: </b><br><span name=""r_ta_interesse"">clipping </span><br>
                <b>Orientação para acesso: </b><br><span name=""r_ta_jorientacao"">clipping </span><br>
            </span>
            <b>SGP: </b><br><span name=""r_sgp"">Não solicitado</span><br>
            <b>Sapiens: </b><br><span name=""r_acessosapiens"">Não solicitado</span>
            <span id=""sapiens_opc"" style=""display: none;"">
                <b>Observações do acesso ao Sapiens: </b><br><span name=""r_sapiens_obs"">- Nenhuma -</span><br>
                <b>Perfil de acesso de acordo com a área/núcleo: </b><span name=""r_areaacessosapiens""></span><br>
                <b>Acesso ao Controle de Aprovação: </b><span name=""r_acessoctrlaprov"">Não solicitado</span><br>
                <b>Observações para Controle de Aprovação: </b><br><span name=""r_acessosapiens_obs"">- Nenhuma -</span>
            </span><br>
            <b>PowerBi: </b><br><span name=""r_bi"">Não solicitado</span><br>
            <b>BBTur (SGV): </b><span name=""r_acessosgv"">Não solicitado</span><br>
            <span id=""r_sgv"" style=""display: none;"">

                <b>Matrícula: </b><span name=""r_matricula_SGV"">-</span><br>
                <b>Nome: </b><span name=""r_nome_SGV"">-</span><br>
                <b>Data de Nascimento: </b><span name=""r_nascimento_SGV"">-</span><br>
                <b>CPF: </b><span name=""r_cpf_SGV"">-</span><br>
                <b>RG: </b><span name=""r_rg_SGV"">-</span>&nbsp;&nbsp;<b>Órgão Expedidor: </b><span name=""r_expedidor_SGV"">-</span>&nbsp;&nbsp;<b>Data de Expedição: </b><span name=""r_dt_expedicao_SGV"">-</span><br>
                <b>Telefone: </b><span name=""r_tel_SGV"">-</span>&nbsp;&nbsp;<b>E-mail: </b><span name=""r_mail_SGV"">-</span><br>
                <b>Cargo: </b><span name=""r_cargo_SGV"">-</span>&nbsp;&nbsp;<b>Centro de Custo: </b><span name=""r_arealotacao_SGV"">-</span><br>

            </span>
            <span id=""r_cpf"" style=""display: none;"">CPF: <span name=""r_cpf"">Não informado</span></span>
        ","Acessos Diversos"
"
            <b style=""font-variant: small-caps; font-size: medium;"">Acesso aos sistemas da Fundação</b><br>&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;<br>
            <b>Nome: </b><span name=""r_matricula""></span>&nbsp;&nbsp;&nbsp;<span name=""r_nome"">DALVA</span>&nbsp;<span name=""spAreaUsu"" style=""display: none;""></span><br>
            <b>Lista de sistemas para acesso: </b><br>
            <b>Rede ou outro sistema: </b><br><span name=""r_acessorede"">Não solicitado</span><br>
            <b>Sites na internet: </b> <span name=""r_acessosite""></span><br>
            <span id=""sites_opc"" style="""">
                <b>URL desejada: </b><span name=""r_urlSitio"">http://casaapis.com.br/pt-br/article/fbb/</span><br>
                <b>Justificativa: </b><br><span name=""r_ta_justificativa"">clipping </span><br>
                <b>Interesse para a Fundação: </b><br><span name=""r_ta_interesse"">clipping </span><br>
                <b>Orientação para acesso: </b><br><span name=""r_ta_jorientacao"">clipping </span><br>
            </span>
            <b>SGP: </b><br><span name=""r_sgp"">Não solicitado</span><br>
            <b>Sapiens: </b><br><span name=""r_acessosapiens"">Não solicitado</span>
            <span id=""sapiens_opc"" style=""display: none;"">
                <b>Observações do acesso ao Sapiens: </b><br><span name=""r_sapiens_obs"">- Nenhuma -</span><br>
                <b>Perfil de acesso de acordo com a área/núcleo: </b><span name=""r_areaacessosapiens""></span><br>
                <b>Acesso ao Controle de Aprovação: </b><span name=""r_acessoctrlaprov"">Não solicitado</span><br>
                <b>Observações para Controle de Aprovação: </b><br><span name=""r_acessosapiens_obs"">- Nenhuma -</span>
            </span><br>
            <b>PowerBi: </b><br><span name=""r_bi"">Não solicitado</span><br>
            <b>BBTur (SGV): </b><span name=""r_acessosgv"">Não solicitado</span><br>
            <span id=""r_sgv"" style=""display: none;"">

                <b>Matrícula: </b><span name=""r_matricula_SGV"">-</span><br>
                <b>Nome: </b><span name=""r_nome_SGV"">-</span><br>
                <b>Data de Nascimento: </b><span name=""r_nascimento_SGV"">-</span><br>
                <b>CPF: </b><span name=""r_cpf_SGV"">-</span><br>
                <b>RG: </b><span name=""r_rg_SGV"">-</span>&nbsp;&nbsp;<b>Órgão Expedidor: </b><span name=""r_expedidor_SGV"">-</span>&nbsp;&nbsp;<b>Data de Expedição: </b><span name=""r_dt_expedicao_SGV"">-</span><br>
                <b>Telefone: </b><span name=""r_tel_SGV"">-</span>&nbsp;&nbsp;<b>E-mail: </b><span name=""r_mail_SGV"">-</span><br>
                <b>Cargo: </b><span name=""r_cargo_SGV"">-</span>&nbsp;&nbsp;<b>Centro de Custo: </b><span name=""r_arealotacao_SGV"">-</span><br>

            </span>
            <span id=""r_cpf"" style=""display: none;"">CPF: <span name=""r_cpf"">Não informado</span></span>
        ","Acessos Diversos"
"Formulário para abertura de demanda de TI (preenchimento obrigatório) <br><br><b>1 - Que operação você está tentando/precisa realizar no sistema? </b><br>   R: Enviar e-mail pelo NOTES<br><br><b>2 - O que impede a realização desta operação (erro/falta de funcionalidade)? </b><br>   R: Erro<br><br><b>3 - Em caso de erro, anexe tela de evidência com a mensagem apresentada pelo sistema. </b><br>   R: Quanto executo comandos referente a e-mail (qualquer que seja) abre um pop-up exigindo senha de ID do NOTES.<br><br><b>4 - Em caso de falta de funcionalidade, descreva a necessidade a ser suprida pelo sistema. </b><br>   R: XXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXX<br><br><b>5 - Qual o impacto de não realizar esta operação? </b><br>   R: ALTO<br><br><b>6 - Quando você precisa concluir esta operação? </b><br>   R: Até amanhã<br><br><b>7 - A correção/melhoria implica na necessidade de atualização de normativo? </b><br>   R: Não<br><br><b> Informações Adicionais:  </b><br>","Software - Instalação / Configuração / Desinstalação"
,"Publicação no DOU"
"
            <b>Número da Nota Técnica: </b><span name=""r_numNT"">2017/00907</span><br>
            <b>1. Area Demandante: </b><span name=""r_arealotacao"">GEATE</span><br>
            <b>2. UF de Execução: </b><span name=""r_ufexecucao"">DF</span><br>
            <b>3. Modalidade de Licitação: </b><span name=""r_modalidade"">Inexigibilidade</span><br>
            <b>4. Fundamento Legal: </b><span name=""r_fundamento"">Regulamento para chamada específica</span><br>
            <b>5. Objeto: </b><span name=""r_objeto"">seleção e o apoio a projetos para implantação e/ou melhoria de empreendimentos econômicos coletivos relacionados à produção de base agroecológica, extrativista e orgânica das redes de agroecologia, extrativismo e produção orgânica conveniadas no âmbito do Edital 2014/005 - Redes ECOFORTE, conforme especificado no item 3.2 do referido Edital.</span><br>
            <b>6. Quantidade: </b><span name=""r_quantidade"">Não informada</span><br>
            <b>7. Unidade Padrão: </b><span name=""r_unidade"">Não informada</span><br>
            <b>8. Funcionário designado para conduzir o processo: </b><span name=""r_nome"">MARIANA DA SILVA OLIVEIRA</span><br>
            <b>9. Matrícula do funcionário designado: </b><span name=""r_matricula"">6.875.092-7</span><br>
            <b>10. CPF: </b><span name=""r_cpf"">844.707.981-34</span><br>
            <b>11. O instrumento de designação formal consta do processo? </b><span name=""r_designacao"">NÃO</span><br>
            <b>12. Fornecedor: </b><span name=""r_fornecedor""></span><br>
            <b>13. CNPJ/CPF do Fornecedor: </b><span name=""r_cnpjfornecedor""></span><br>
            <b>14. Número do Contrato: </b><span name=""r_nrcontrato""></span><br>
            <b>15. Valor do Contrato: </b><span name=""r_valorcontrato""></span><br>
            <b>16. Data da publicação no DOU: </b><span>Após publicação no DOU envie e-mail para licitacao@fbb.org.br informando a data</span><br>
            <b>17. Início da Vigência do Contrato: </b><span name=""r_inicontrato"">Não informado</span><br>
            <b>18. Fim da Vigência do Contrato: </b><span name=""r_fimcontrato"">Não informado</span><br>
            <b>19. Prazo de Vigência: </b><span name=""r_prazovigencia""></span>&nbsp;<span name=""r_prazounidade""> meses</span><br>
            <b>20. Aditivos (Quando da confecção informar o número do Aditivo.): </b><span name=""r_aditivos""></span><br>
            <hr>
            <table id=""reg_excel"">
                <tbody><tr>
                    <td>
                        <span id=""data_ocorrencia"">02/08/2017</span>
                    </td>
                    <td>
                        <span name=""r_arealotacao"">GEATE</span>
                    </td>
                    <td>
                        <span>&nbsp;</span>
                    </td>
                    <td>
                        <span name=""r_ufexecucao"">DF</span>
                    </td>
                    <td>
                        <span name=""r_modalidade"">Inexigibilidade</span>
                    </td>
                    <td>
                        <span name=""r_fundamento"">Regulamento para chamada específica</span>
                    </td>
                    <td>
                        <span name=""r_objeto"">seleção e o apoio a projetos para implantação e/ou melhoria de empreendimentos econômicos coletivos relacionados à produção de base agroecológica, extrativista e orgânica das redes de agroecologia, extrativismo e produção orgânica conveniadas no âmbito do Edital 2014/005 - Redes ECOFORTE, conforme especificado no item 3.2 do referido Edital.</span>
                    </td>
                    <td>
                        <span name=""r_quantidade""></span>
                    </td>
                    <td>
                        <span name=""r_unidade""></span>
                    </td>
                    <td>
                        <span name=""r_nome"">MARIANA DA SILVA OLIVEIRA</span>
                    </td>
                    <td>
                        <span name=""r_matricula"">6.875.092-7</span>
                    </td>
                    <td>
                        <span name=""r_cpf"">844.707.981-34</span>
                    </td>
                    <td>
                        <span name=""r_designacao"">NÃO</span>
                    </td>
                    <td>
                        <span name=""r_fornecedor""></span>
                    </td>
                    <td>
                        <span name=""r_cnpjfornecedor""></span>
                    </td>
                    <td>
                        <span name=""r_nrcontrato""></span>
                    </td>
                    <td>
                        <span name=""r_valorcontrato""></span>
                    </td>
                    <td>
                        <span>&nbsp;</span>
                    </td>
                    <td>
                        <span name=""r_inicontrato""></span>
                    </td>
                    <td>
                        <span name=""r_fimcontrato""></span>
                    </td>
                    <td>
                        <span name=""r_prazovigencia""></span>&nbsp;<span name=""r_prazounidade""> meses</span>
                    </td>
                    <td>
                        <span name=""r_aditivos""></span>
                    </td>
                </tr>
            </tbody></table>
            *
        ",Licitação
"
            <b>Número da Nota Técnica: </b><span name=""r_numNT"">2017/00907</span><br>
            <b>1. Area Demandante: </b><span name=""r_arealotacao"">GEATE</span><br>
            <b>2. UF de Execução: </b><span name=""r_ufexecucao"">DF</span><br>
            <b>3. Modalidade de Licitação: </b><span name=""r_modalidade"">Inexigibilidade</span><br>
            <b>4. Fundamento Legal: </b><span name=""r_fundamento"">Chamada Pública</span><br>
            <b>5. Objeto: </b><span name=""r_objeto"">seleção e o apoio a projetos territoriais de redes de agroecologia, extrativismo e produção orgânica, voltados à intensificação das práticas de manejo sustentável de produtos da sociobiodiversidade e de sistemas produtivos orgânicos e de base agroecológica.</span><br>
            <b>6. Quantidade: </b><span name=""r_quantidade"">Não informada</span><br>
            <b>7. Unidade Padrão: </b><span name=""r_unidade"">Não informada</span><br>
            <b>8. Funcionário designado para conduzir o processo: </b><span name=""r_nome"">MARIANA DA SILVA OLIVEIRA</span><br>
            <b>9. Matrícula do funcionário designado: </b><span name=""r_matricula"">6.875.092-7</span><br>
            <b>10. CPF: </b><span name=""r_cpf"">844.707.981-34</span><br>
            <b>11. O instrumento de designação formal consta do processo? </b><span name=""r_designacao"">NÃO</span><br>
            <b>12. Fornecedor: </b><span name=""r_fornecedor""></span><br>
            <b>13. CNPJ/CPF do Fornecedor: </b><span name=""r_cnpjfornecedor""></span><br>
            <b>14. Número do Contrato: </b><span name=""r_nrcontrato""></span><br>
            <b>15. Valor do Contrato: </b><span name=""r_valorcontrato""></span><br>
            <b>16. Data da publicação no DOU: </b><span>Após publicação no DOU envie e-mail para licitacao@fbb.org.br informando a data</span><br>
            <b>17. Início da Vigência do Contrato: </b><span name=""r_inicontrato"">Não informado</span><br>
            <b>18. Fim da Vigência do Contrato: </b><span name=""r_fimcontrato"">Não informado</span><br>
            <b>19. Prazo de Vigência: </b><span name=""r_prazovigencia""></span>&nbsp;<span name=""r_prazounidade""> meses</span><br>
            <b>20. Aditivos (Quando da confecção informar o número do Aditivo.): </b><span name=""r_aditivos""></span><br>
            <hr>
            <table id=""reg_excel"">
                <tbody><tr>
                    <td>
                        <span id=""data_ocorrencia"">02/08/2017</span>
                    </td>
                    <td>
                        <span name=""r_arealotacao"">GEATE</span>
                    </td>
                    <td>
                        <span>&nbsp;</span>
                    </td>
                    <td>
                        <span name=""r_ufexecucao"">DF</span>
                    </td>
                    <td>
                        <span name=""r_modalidade"">Inexigibilidade</span>
                    </td>
                    <td>
                        <span name=""r_fundamento"">Chamada Pública</span>
                    </td>
                    <td>
                        <span name=""r_objeto"">seleção e o apoio a projetos territoriais de redes de agroecologia, extrativismo e produção orgânica, voltados à intensificação das práticas de manejo sustentável de produtos da sociobiodiversidade e de sistemas produtivos orgânicos e de base agroecológica.</span>
                    </td>
                    <td>
                        <span name=""r_quantidade""></span>
                    </td>
                    <td>
                        <span name=""r_unidade""></span>
                    </td>
                    <td>
                        <span name=""r_nome"">MARIANA DA SILVA OLIVEIRA</span>
                    </td>
                    <td>
                        <span name=""r_matricula"">6.875.092-7</span>
                    </td>
                    <td>
                        <span name=""r_cpf"">844.707.981-34</span>
                    </td>
                    <td>
                        <span name=""r_designacao"">NÃO</span>
                    </td>
                    <td>
                        <span name=""r_fornecedor""></span>
                    </td>
                    <td>
                        <span name=""r_cnpjfornecedor""></span>
                    </td>
                    <td>
                        <span name=""r_nrcontrato""></span>
                    </td>
                    <td>
                        <span name=""r_valorcontrato""></span>
                    </td>
                    <td>
                        <span>&nbsp;</span>
                    </td>
                    <td>
                        <span name=""r_inicontrato""></span>
                    </td>
                    <td>
                        <span name=""r_fimcontrato""></span>
                    </td>
                    <td>
                        <span name=""r_prazovigencia""></span>&nbsp;<span name=""r_prazounidade""> meses</span>
                    </td>
                    <td>
                        <span name=""r_aditivos""></span>
                    </td>
                </tr>
            </tbody></table>
            *
        ",Licitação
"Prezados,<div><br></div><div>Favor providenciar o seguinte remanejamento de RECURSOS PRÓPRIOS:</div><div><br></div><div>PROJETO SUPERIOR 14.207 (DEMAIS INICIATIVAS - GASTOS) &gt;&gt; R$ 112 MIL &gt;&gt; PROJETO SUPERIOR 14.330 (OUTROS PROJETOS - DEMAIS INICIATIVAS).</div>","SIC - Manutenção Evolutiva (Expressa)"
"
            <b style=""font-variant: small-caps; font-size: medium;"">Acesso aos sistemas da Fundação</b><br>&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;<br>
            <b>Nome: </b><span name=""r_matricula"">7.339.493-9</span>&nbsp;&nbsp;&nbsp;<span name=""r_nome"">NATASHA HENNIG</span>&nbsp;<span name=""spAreaUsu"" style=""display: none;""></span><br>
            <b>Lista de sistemas para acesso: </b><br>
            <b>Rede ou outro sistema: </b><br><span name=""r_acessorede"">Favor conceder os acessos para a funcionária Fabiana (E123030) com o mesmo perfil da Paula (E1215187). A Fabiana não está conseguindo abrir suportes, usar o chat do colab, enviar e-mails para fo0ra, etc.<br>Obrigada.</span><br>
            <b>Sites na internet: </b> <span name=""r_acessosite"">Não solicitado</span><br>
            <span id=""sites_opc"" style=""display: none;"">
                <b>URL desejada: </b><span name=""r_urlSitio"">Não informada</span><br>
                <b>Justificativa: </b><br><span name=""r_ta_justificativa"">Não informado</span><br>
                <b>Interesse para a Fundação: </b><br><span name=""r_ta_interesse"">Não informado</span><br>
                <b>Orientação para acesso: </b><br><span name=""r_ta_jorientacao"">Não informado</span><br>
            </span>
            <b>SGP: </b><br><span name=""r_sgp"">Não solicitado</span><br>
            <b>Sapiens: </b><br><span name=""r_acessosapiens"">Não solicitado</span>
            <span id=""sapiens_opc"" style=""display: none;"">
                <b>Observações do acesso ao Sapiens: </b><br><span name=""r_sapiens_obs"">- Nenhuma -</span><br>
                <b>Perfil de acesso de acordo com a área/núcleo: </b><span name=""r_areaacessosapiens""></span><br>
                <b>Acesso ao Controle de Aprovação: </b><span name=""r_acessoctrlaprov"">Não solicitado</span><br>
                <b>Observações para Controle de Aprovação: </b><br><span name=""r_acessosapiens_obs"">- Nenhuma -</span>
            </span><br>
            <b>PowerBi: </b><br><span name=""r_bi"">Não solicitado</span><br>
            <b>BBTur (SGV): </b><span name=""r_acessosgv"">Não solicitado</span><br>
            <span id=""r_sgv"" style=""display: none;"">

                <b>Matrícula: </b><span name=""r_matricula_SGV"">-</span><br>
                <b>Nome: </b><span name=""r_nome_SGV"">-</span><br>
                <b>Data de Nascimento: </b><span name=""r_nascimento_SGV"">-</span><br>
                <b>CPF: </b><span name=""r_cpf_SGV"">-</span><br>
                <b>RG: </b><span name=""r_rg_SGV"">-</span>&nbsp;&nbsp;<b>Órgão Expedidor: </b><span name=""r_expedidor_SGV"">-</span>&nbsp;&nbsp;<b>Data de Expedição: </b><span name=""r_dt_expedicao_SGV"">-</span><br>
                <b>Telefone: </b><span name=""r_tel_SGV"">-</span>&nbsp;&nbsp;<b>E-mail: </b><span name=""r_mail_SGV"">-</span><br>
                <b>Cargo: </b><span name=""r_cargo_SGV"">-</span>&nbsp;&nbsp;<b>Centro de Custo: </b><span name=""r_arealotacao_SGV"">-</span><br>

            </span>
            <span id=""r_cpf"" style=""display: none;"">CPF: <span name=""r_cpf"">Não informado</span></span>
        ","Acessos Diversos"
